symbol,atomic number,Mendeleev number,atomic weight,melting temperature,periodic table column,periodic table row,covalent radius,electronegativity,s valence electrons,p valence electrons,d valence electrons,f valence electrons,valence electrons,unfilled s orbitals,unfilled p orbitals,unfilled d orbitals,unfilled f orbitals,unfilled orbitals,ground state volume per atom,ground state band gap,ground state magnetic moment,space group number,oxidation states
H,1,92.0,1.00794,14.01,1,1,31.0,2.2,1,0,0,0,1,1,0,0,0,1,6.615,7.853,0.0,194.0,-1 1
He,2,98.0,4.002602,,18,1,28.0,,2,0,0,0,2,0,0,0,0,0,12.305,18.098,0.0,225.0,
Li,3,1.0,6.941,453.69,1,2,128.0,0.98,1,0,0,0,1,1,0,0,0,1,16.5933333333,0.0,0.0,229.0,1
Be,4,67.0,9.012182,1560.0,2,2,96.0,1.57,2,0,0,0,2,0,0,0,0,0,7.89,0.0,0.0,194.0,2
B,5,72.0,10.811,2348.0,13,2,84.0,2.04,2,1,0,0,3,0,5,0,0,5,7.1725,1.524,0.0,166.0,3
C,6,77.0,12.0107,3823.0,14,2,76.0,2.55,2,2,0,0,4,0,4,0,0,4,5.64,4.496,0.0,194.0,-4 2 4
N,7,82.0,14.0067,63.05,15,2,71.0,3.04,2,3,0,0,5,0,3,0,0,3,14.76875,6.437,0.0,194.0,-3 -2 -1 1 2 3 4 5
O,8,87.0,15.9994,54.8,16,2,66.0,3.44,2,4,0,0,6,0,2,0,0,2,9.105,0.0,0.0,12.0,-2
F,9,93.0,18.9984032,53.5,17,2,57.0,3.98,2,5,0,0,7,0,1,0,0,1,9.7075,1.97,0.0,15.0,-1
Ne,10,99.0,20.1791,24.56,18,2,58.0,,2,6,0,0,8,0,0,0,0,0,12.64,13.088,0.0,225.0,
Na,11,2.0,22.98976928,370.87,1,3,166.0,0.93,1,0,0,0,1,1,0,0,0,1,29.2433333333,0.0,0.0,229.0,1
Mg,12,68.0,24.305,923.0,2,3,141.0,1.31,2,0,0,0,2,0,0,0,0,0,22.89,0.0,0.0,194.0,2
Al,13,73.0,26.9815386,933.47,13,3,121.0,1.61,2,1,0,0,3,0,5,0,0,5,16.48,0.0,0.0,225.0,3
Si,14,78.0,28.0855,1687.0,14,3,111.0,1.9,2,2,0,0,4,0,4,0,0,4,20.44,0.773,0.0,227.0,-4 2 4
P,15,83.0,30.973762,317.3,15,3,107.0,2.19,2,3,0,0,5,0,3,0,0,3,22.5702380952,1.625,0.0,2.0,-3 3 5
S,16,88.0,32.065,388.36,16,3,105.0,2.58,2,4,0,0,6,0,2,0,0,2,25.786875,2.202,0.0,70.0,-2 4 6
Cl,17,94.0,35.453,171.6,17,3,102.0,3.16,2,5,0,0,7,0,1,0,0,1,24.4975,2.493,0.0,64.0,-1 1 5 7
Ar,18,100.0,39.948,83.8,18,3,106.0,,2,6,0,0,8,0,0,0,0,0,28.54,9.26,0.0,225.0,
